Co- (228.615 nm), Su, Original
Wavelength (nm),Su Original Average Background,Su Original Average Spectrum
228.585,363.854,359.895
228.586,356.074,357.025
228.587,349.298,352.456
228.589,343.526,346.416
228.59,338.71,339.976
228.591,334.768,334.014
228.592,331.598,329.468
228.594,329.087,327.081
228.595,327.125,327.911
228.596,325.606,329.757
228.597,324.436,330.573
228.599,323.534,328.39
228.6,322.835,325.575
228.601,322.285,323.426
228.602,321.844,323.719
228.604,321.483,324.919
228.605,321.183,326.4
228.606,320.93,326.958
228.607,320.719,326.82
228.609,320.55,326.304
228.61,320.425,325.725
228.611,320.355,324.946
228.613,320.349,323.748
228.614,320.421,321.812
228.615,320.588,320.298
228.616,320.866,319.667
228.618,321.269,321.935
228.619,321.813,325.465
228.62,322.504,329.24
228.621,323.346,330.502
228.623,324.333,330.036
228.624,325.45,328.888
228.625,326.67,328.131
228.626,327.955,328.004
228.628,329.258,328.876
228.629,330.524,331.28
228.63,331.69,334.074
228.632,332.697,335.974
228.633,333.484,335.598
228.634,334.002,334.067
228.635,334.211,332.515
228.637,334.088,332.029
228.638,333.627,332.118
228.639,332.841,332.374
228.64,331.757,332.414
228.642,330.419,332.069
228.643,328.88,331.173
