Co- (228.615 nm), 1-1, Original
Wavelength (nm),1-1 Original Average Background,1-1 Original Average Spectrum
228.585,370.612,393.557
228.586,370.361,390.876
228.587,370.109,386.608
228.589,369.858,381.335
228.59,369.606,376.343
228.591,369.354,372.706
228.592,369.103,370.383
228.594,368.851,369.379
228.595,368.599,369.805
228.596,368.348,371.268
228.597,368.096,373.505
228.599,367.845,376.272
228.6,367.593,382.825
228.601,367.341,398.401
228.602,367.09,432.717
228.604,366.838,494.361
228.605,366.587,598.793
228.606,366.335,771.658
228.607,366.083,1007.145
228.609,365.832,1293.571
228.61,365.58,1607.607
228.611,365.328,1903.119
228.613,365.077,2125.441
228.614,364.825,2215.026
228.615,364.574,2172.578
228.616,364.322,2007.444
228.618,364.07,1736.462
228.619,363.819,1418.759
228.62,363.567,1104.551
228.621,363.315,833.175
228.623,363.064,625.84
228.624,362.812,488.71
228.625,362.561,423.23
228.626,362.309,392.402
228.628,362.057,378.462
228.629,361.806,372.987
228.63,361.554,371.739
228.632,361.302,372.052
228.633,361.051,371.879
228.634,360.799,371.343
228.635,360.548,370.607
228.637,360.296,369.906
228.638,360.044,369.087
228.639,359.793,367.895
228.64,359.541,366.123
228.642,359.289,364.432
228.643,359.038,363.295
